epoch,train_loss,train_accuracy,val_accuracy
1,235.43075203197077,93.68274404304381,93.77401998462722
2,129.51377415587194,96.59396617986164,93.81245196003074
3,104.4292587742093,97.26172175249808,97.96310530361261
4,89.97836570371874,97.68927747886241,97.7325134511914
5,78.7664764240617,97.87663335895465,97.61721752498079
6,70.45523970687645,98.09761721752498,97.77094542659492
7,68.80131158369477,98.24173712528824,98.57801691006918
8,56.88702948583523,98.5347809377402,98.19369715603382
9,52.40745656203944,98.60203689469638,98.00153727901615
10,48.472416268414236,98.7413528055342,98.77017678708685
