epoch,stage,train_loss,train_accuracy,val_accuracy
1,Stage 1,0.6334230931880931,86.82263643351268,92.39046887009992
2,Stage 1,0.5773570117448312,89.60415065334358,93.54342813220599
3,Stage 1,0.5459558156982557,91.1750576479631,94.23520368946964
4,Stage 1,0.5270377697622107,92.00134511913912,94.69638739431207
5,Stage 1,0.5182868263567529,92.71714066102997,94.69638739431207
6,Stage 2,0.49040479164321454,94.02382782475019,96.61798616448885
7,Stage 2,0.45607846423261994,95.94542659492699,97.50192159877018
8,Stage 2,0.4450006186045838,96.41621829362029,97.19446579554189
9,Stage 2,0.43093228814328843,97.08877786318217,98.15526518063028
10,Stage 2,0.4223881534298597,97.33378170637971,98.46272098385857
11,Stage 2,0.4115602035736873,97.95830130668716,98.57801691006918
12,Stage 2,0.4092517918710247,98.11683320522675,98.6164488854727
13,Stage 2,0.40428173324403904,98.43389700230591,98.57801691006918
14,Stage 2,0.4013039084648188,98.5011529592621,98.77017678708685
15,Stage 2,0.40149697038322846,98.52517294388932,98.73174481168333
