Metric,Value
Test Accuracy,0.9896233666410453
Normal - Recall,0.9955041746949261
Pneumonia - Recall,0.9822064056939501
COVID-19 - Recall,0.9806629834254144
Tuberculosis - Recall,0.9752066115702479
Normal - F1-Score,0.992
Pneumonia - F1-Score,0.989247311827957
COVID-19 - F1-Score,0.984743411927878
Tuberculosis - F1-Score,0.9752066115702479
